"Counting","1-digit level INDP Industry of Employment","1-digit level HEAP Level of Highest Educational Attainment","Count",
"Person Records","Accommodation and Food Services","Bachelor Degree Level",12.4111788
"Person Records","Accommodation and Food Services","Advanced Diploma and Diploma Level",10.2346833
"Person Records","Accommodation and Food Services","Certificate III & IV Level",14.6735448
"Person Records","Accommodation and Food Services","Secondary Education - Years 10 and above",47.4737061
"Person Records","Accommodation and Food Services","Certificate I & II Level",0.0858706
"Person Records","Accommodation and Food Services","Secondary Education - Years 9 and below",7.3324342
"Person Records","Accommodation and Food Services","Supplementary Codes",2.2761462
"Person Records","Accommodation and Food Services","Not stated",1.5635347
"Person Records","Accommodation and Food Services","Not applicable",0
"Person Records","Accommodation and Food Services","Total",100
"Person Records","Transport, Postal and Warehousing","Postgraduate Degree Level",5.3557701
"Person Records","Transport, Postal and Warehousing","Graduate Diploma and Graduate Certificate Level",1.1933436
"Person Records","Transport, Postal and Warehousing","Bachelor Degree Level",14.0884099
"Person Records","Transport, Postal and Warehousing","Advanced Diploma and Diploma Level",11.4396263
"Person Records","Transport, Postal and Warehousing","Certificate III & IV Level",20.8701525
"Person Records","Transport, Postal and Warehousing","Secondary Education - Years 10 and above",37.5249833
"Person Records","Transport, Postal and Warehousing","Certificate I & II Level",0.0719301
"Person Records","Transport, Postal and Warehousing","Secondary Education - Years 9 and below",4.3547891
"Person Records","Transport, Postal and Warehousing","Supplementary Codes",3.2342907
"Person Records","Transport, Postal and Warehousing","Not stated",1.8667042
"Person Records","Transport, Postal and Warehousing","Not applicable",0
"Person Records","Transport, Postal and Warehousing","Total",100
"Person Records","Information Media and Telecommunications","Postgraduate Degree Level",12.474831
"Person Records","Information Media and Telecommunications","Graduate Diploma and Graduate Certificate Level",3.3876264
"Person Records","Information Media and Telecommunications","Bachelor Degree Level",35.8298576
"Person Records","Information Media and Telecommunications","Advanced Diploma and Diploma Level",11.8683782
"Person Records","Information Media and Telecommunications","Certificate III & IV Level",10.7567477
"Person Records","Information Media and Telecommunications","Secondary Education - Years 10 and above",21.3816578
"Person Records","Information Media and Telecommunications","Certificate I & II Level",0.0143823
"Person Records","Information Media and Telecommunications","Secondary Education - Years 9 and below",0.7688528
"Person Records","Information Media and Telecommunications","Supplementary Codes",2.3922527
"Person Records","Information Media and Telecommunications","Not stated",1.1164246
"Person Records","Information Media and Telecommunications","Not applicable",0
"Person Records","Information Media and Telecommunications","Total",100
"Person Records","Financial and Insurance Services","Postgraduate Degree Level",14.772837
"Person Records","Financial and Insurance Services","Graduate Diploma and Graduate Certificate Level",4.0130661
"Person Records","Financial and Insurance Services","Bachelor Degree Level",36.6954154
"Person Records","Financial and Insurance Services","Advanced Diploma and Diploma Level",13.423541
"Person Records","Financial and Insurance Services","Certificate III & IV Level",8.1483462
"Person Records","Financial and Insurance Services","Secondary Education - Years 10 and above",18.8903691
