caption,readability,read_grade,calc_grade
1,43.564,College Level,15.464
2,58.815,11th Grade,9.321
3,52.46,11th Grade,12.401
4,60.882,9th Grade,9.239
5,55.332,11th Grade,9.119
6,89.307,6th Grade,3.629
7,79.755,6th Grade,5.365
8,-18.5,College Graduate,18.076
9,57.338,11th Grade,9.609
10,103.54,5th Grade,0.805
11,65.172,9th Grade,8.724
12,88.59,6th Grade,3.221
