caption,readability,read_grade,calc_grade
1,51.483,11th Grade,8.662
2,75.063,7th Grade,3.982
3,29.18,College Graduate,12.717
4,45.327,College Level,9.339
5,68.092,9th Grade,4.59
6,49.914,11th Grade,11.763
7,35.944,College Level,9.488
8,34.022,College Level,14.973
9,51.7,11th Grade,10.57
10,79.709,6th Grade,5.061
11,63.486,9th Grade,7.634
12,47.776,College Level,10.769
