caption,readability,read_grade,calc_grade
1,58.27,11th Grade,7.661
2,53.46,11th Grade,8.585
3,39.555,College Level,10.723
4,87.945,6th Grade,2.483
5,73.043,7th Grade,6.053
6,51.173,11th Grade,9.02
7,62.813,9th Grade,8.163
8,65.068,9th Grade,8.642
9,58.491,11th Grade,8.308
10,67.038,9th Grade,8.878
11,90.133,5th Grade,4.663
12,75.001,7th Grade,6.463
