caption,readability,read_grade,calc_grade
1,44.172,College Level,10.763
2,26.978,College Graduate,12.105
3,51.772,11th Grade,9.268
4,66.233,9th Grade,7.468
5,56.687,11th Grade,9.607
6,74.65,7th Grade,4.524
7,70.073,7th Grade,7.262
8,64.286,9th Grade,9.385
9,45.099,College Level,10.82
10,55.215,11th Grade,9.781
11,72.901,7th Grade,6.507
12,69.785,7th Grade,5.596
