caption,readability,read_grade,calc_grade
1,84.9,6th Grade,3.653
2,82.475,6th Grade,4.24
3,69.537,7th Grade,8.43
4,52.005,11th Grade,10.291
5,81.262,6th Grade,5.527
6,42.168,College Level,15.328
7,43.201,College Level,15.929
8,35.889,College Level,11.682
9,49.518,11th Grade,11.073
10,67.391,9th Grade,7.089
11,36.29,College Level,18.88
12,14.665,College Graduate,15.686
