caption,readability,read_grade,calc_grade
1,71.006,7th Grade,5.939
2,53.388,11th Grade,8.545
3,28.346,College Graduate,12.176
4,90.959,5th Grade,2.311
5,66.1,9th Grade,6.276
6,43.458,College Level,14.154
7,67.733,9th Grade,6.367
8,11.038,College Graduate,17.309
9,9.292,College Graduate,14.909
10,63.098,9th Grade,7.295
11,87.809,6th Grade,3.931
12,54.136,11th Grade,8.907
