caption,readability,read_grade,calc_grade
1,66.365,9th Grade,8.474
2,55.352,11th Grade,8.768
3,66.787,9th Grade,5.683
4,87.678,6th Grade,3.018
5,74.805,7th Grade,5.807
6,52.0,11th Grade,8.242
7,89.358,6th Grade,2.187
8,57.11,11th Grade,7.115
9,52.305,11th Grade,13.417
10,50.61,11th Grade,9.927
11,37.797,College Level,12.004
12,10.145,College Graduate,18.055
