caption,readability,read_grade,calc_grade
1,93.228,5th Grade,1.374
2,92.568,5th Grade,3.412
3,44.95,College Level,13.271
4,53.971,11th Grade,10.452
5,48.898,College Level,9.346
6,41.036,College Level,12.69
7,46.639,College Level,13.586
8,52.997,11th Grade,9.925
9,60.661,9th Grade,10.429
10,44.575,College Level,10.52
11,75.121,7th Grade,7.005
12,57.741,11th Grade,9.553
