caption,readability,read_grade,calc_grade
1,64.23,9th Grade,7.282
2,45.259,College Level,12.691
3,64.212,9th Grade,8.816
4,79.141,7th Grade,4.804
5,75.875,7th Grade,3.67
6,51.199,11th Grade,13.819
7,71.118,7th Grade,5.141
8,43.561,College Level,12.152
9,38.758,College Level,12.254
10,46.24,College Level,11.778
11,37.763,College Level,11.905
12,118.175,5th Grade,-2.23
