caption,readability,read_grade,calc_grade
1,91.843,5th Grade,3.182
2,67.53,9th Grade,7.567
3,52.265,11th Grade,10.441
4,66.089,9th Grade,8.451
5,59.315,11th Grade,9.458
6,67.329,9th Grade,8.588
7,73.021,7th Grade,6.594
8,38.328,College Level,12.551
9,22.331,College Graduate,12.298
10,71.065,7th Grade,7.819
11,43.225,College Level,12.478
12,81.094,6th Grade,5.116
