caption,readability,read_grade,calc_grade
1,61.268,9th Grade,5.832
2,52.865,11th Grade,8.37
3,-17.813,College Graduate,17.483
4,75.5,7th Grade,4.964
5,66.1,9th Grade,6.276
6,7.912,College Graduate,12.528
7,40.3,College Level,13.104
8,78.772,7th Grade,4.384
9,89.517,5th Grade,4.003
10,64.933,9th Grade,8.094
11,38.378,College Level,13.372
12,72.615,7th Grade,5.864
