caption,readability,read_grade,calc_grade
1,25.499,College Graduate,13.056
2,47.596,College Level,10.099
3,41.097,College Level,12.827
4,39.601,College Level,9.868
5,30.155,College Level,12.034
6,0.568,College Graduate,17.735
7,45.228,College Level,11.009
8,40.043,College Level,11.152
9,56.647,11th Grade,9.664
10,24.822,College Graduate,15.213
11,28.05,College Graduate,13.073
12,63.735,9th Grade,7.897
