caption,readability,read_grade,calc_grade
1,68.001,9th Grade,6.507
2,68.094,9th Grade,7.902
3,82.505,6th Grade,5.913
4,92.816,5th Grade,2.736
5,97.093,5th Grade,1.988
6,59.745,9th Grade,6.417
7,113.1,5th Grade,-0.28
8,78.245,7th Grade,4.83
9,33.46,College Level,16.294
10,59.206,11th Grade,7.61
11,109.13,5th Grade,-0.347
12,54.22,11th Grade,7.365
