caption,readability,read_grade,calc_grade
1,73.321,7th Grade,4.867
2,65.655,9th Grade,7.331
3,46.945,College Level,11.68
4,60.868,9th Grade,7.651
5,59.578,9th Grade,10.315
6,64.111,9th Grade,9.357
7,80.306,6th Grade,4.791
8,74.267,7th Grade,4.852
9,48.494,College Level,13.451
10,61.054,9th Grade,7.495
11,58.828,11th Grade,7.952
12,14.879,College Graduate,17.56
