caption,readability,read_grade,calc_grade
1,48.408,College Level,9.565
2,37.429,College Level,11.801
3,42.051,College Level,11.783
4,23.125,College Graduate,14.506
5,35.609,College Level,11.212
6,40.834,College Level,11.332
7,61.665,9th Grade,9.13
8,42.15,College Level,11.107
9,72.025,7th Grade,6.733
10,57.87,11th Grade,8.355
11,65.113,9th Grade,7.407
12,53.148,11th Grade,8.952
