caption,readability,read_grade,calc_grade
1,66.828,9th Grade,5.512
2,60.634,9th Grade,10.019
3,60.705,9th Grade,7.773
4,54.708,11th Grade,7.989
5,53.398,11th Grade,8.109
6,60.515,9th Grade,9.829
7,23.554,College Graduate,19.414
8,38.555,College Level,11.235
9,55.15,11th Grade,9.045
10,64.092,9th Grade,8.357
11,50.618,11th Grade,9.677
