caption,readability,read_grade,calc_grade
1,41.383,College Level,13.325
2,40.805,College Level,12.095
3,37.584,College Level,13.837
4,11.357,College Graduate,15.122
5,76.4,7th Grade,6.205
6,61.4,9th Grade,6.931
7,15.508,College Graduate,16.512
8,44.729,College Level,10.581
9,23.304,College Graduate,14.63
10,35.415,College Level,12.419
11,34.491,College Level,13.169
12,9.824,College Graduate,16.041
