caption,readability,read_grade,calc_grade
1,29.353,College Graduate,13.836
2,22.208,College Graduate,16.207
3,39.077,College Level,13.274
4,7.991,College Graduate,18.604
5,44.754,College Level,11.191
6,16.194,College Graduate,17.273
7,41.281,College Level,11.725
8,11.261,College Graduate,18.52
9,47.543,College Level,11.874
10,36.409,College Level,15.323
11,71.975,7th Grade,5.891
12,23.805,College Graduate,15.487
