caption,readability,read_grade,calc_grade
1,63.759,9th Grade,7.968
2,108.828,5th Grade,0.068
3,54.719,11th Grade,10.471
4,34.891,College Level,11.953
5,65.113,9th Grade,7.407
6,67.54,9th Grade,8.311
7,78.21,7th Grade,5.497
8,39.5,College Level,12.925
9,92.171,5th Grade,3.26
10,18.099,College Graduate,13.882
11,30.496,College Level,17.452
12,43.604,College Level,11.401
