caption,readability,read_grade,calc_grade
1,78.873,7th Grade,3.997
2,58.594,11th Grade,10.469
3,45.894,College Level,13.019
4,78.443,7th Grade,5.945
5,59.533,9th Grade,8.848
6,65.751,9th Grade,8.187
7,32.984,College Level,17.105
8,87.997,6th Grade,3.718
9,67.281,9th Grade,8.285
10,71.325,7th Grade,7.865
11,91.967,5th Grade,4.075
12,69.01,9th Grade,5.799
