caption,readability,read_grade,calc_grade
1,32.256,College Level,16.379
2,74.724,7th Grade,6.936
3,82.814,6th Grade,5.733
4,91.599,5th Grade,2.657
5,49.326,College Level,10.503
6,32.445,College Level,11.094
7,74.789,7th Grade,6.306
8,96.025,5th Grade,3.095
9,63.333,9th Grade,10.139
10,94.045,5th Grade,4.862
11,67.65,9th Grade,8.941
12,18.181,College Graduate,15.899
